192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:56:58 +0000] "GET /auth/realms/local-keycloak HTTP/1.1" 200 604 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:56:58 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /auth/realms/local-keycloak/protocol/openid-connect/auth HTTP/1.1" 400 2943 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/img/favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
